DrugID,DiseaseID,Drugs
DB00006,MESH:D001919,DB00067
DB00006,MESH:D006417,DB00067
DB00006,MESH:D007022,DB00067
DB00006,MESH:D007673,DB00067
DB00006,MESH:D007683,DB00067
DB00006,MESH:D009336,DB00067
DB00006,MESH:D018879,DB00067
DB00006,MESH:D056987,DB00067
DB00007,MESH:D001919,DB00067
DB00007,MESH:D006417,DB00067
DB00007,MESH:D007022,DB00067
DB00007,MESH:D007673,DB00067
DB00007,MESH:D007683,DB00067
DB00007,MESH:D009336,DB00067
DB00007,MESH:D018879,DB00067
DB00007,MESH:D056987,DB00067
DB00007,MESH:D006470,DB00067
DB00007,MESH:D017202,DB00067
DB00014,MESH:D001919,DB00067
DB00014,MESH:D006417,DB00067
DB00014,MESH:D007022,DB00067
DB00014,MESH:D007673,DB00067
DB00014,MESH:D007683,DB00067
DB00014,MESH:D009336,DB00067
DB00014,MESH:D018879,DB00067
DB00014,MESH:D056987,DB00067
DB00014,MESH:D006470,DB00067
DB00014,MESH:D017202,DB00067
DB00027,MESH:D001919,DB00067
DB00027,MESH:D006417,DB00067
DB00027,MESH:D007022,DB00067
DB00027,MESH:D007673,DB00067
DB00027,MESH:D007683,DB00067
DB00027,MESH:D009336,DB00067
DB00027,MESH:D018879,DB00067
DB00027,MESH:D056987,DB00067
DB00027,MESH:D006470,DB00067
DB00027,MESH:D017202,DB00067
DB00035,MESH:D001919,DB00067
DB00035,MESH:D006417,DB00067
DB00035,MESH:D007022,DB00067
DB00035,MESH:D007673,DB00067
DB00035,MESH:D007683,DB00067
DB00035,MESH:D009336,DB00067
DB00035,MESH:D018879,DB00067
DB00035,MESH:D056987,DB00067
DB00035,MESH:D006470,DB00067
DB00035,MESH:D017202,DB00067
DB00050,MESH:D001919,DB00067
DB00050,MESH:D006417,DB00067
DB00050,MESH:D007022,DB00067
DB00050,MESH:D007673,DB00067
DB00050,MESH:D007683,DB00067
DB00050,MESH:D009336,DB00067
DB00050,MESH:D018879,DB00067
DB00050,MESH:D056987,DB00067
DB00050,MESH:D006470,DB00067
DB00050,MESH:D017202,DB00067
DB00080,MESH:D001919,DB00067
DB00080,MESH:D006417,DB00067
DB00080,MESH:D007022,DB00067
DB00080,MESH:D007673,DB00067
DB00080,MESH:D007683,DB00067
DB00080,MESH:D009336,DB00067
DB00080,MESH:D018879,DB00067
DB00080,MESH:D056987,DB00067
DB00080,MESH:D006470,DB00067
DB00080,MESH:D017202,DB00067
DB00091,MESH:D001919,DB00067
DB00091,MESH:D007022,DB00067
DB00091,MESH:D007673,DB00067
DB00091,MESH:D018879,DB00067
DB00091,MESH:D056987,DB00067
DB00091,MESH:D017202,DB00067
DB00093,MESH:D001919,DB00067
DB00093,MESH:D006417,DB00067
DB00093,MESH:D007022,DB00067
DB00093,MESH:D007673,DB00067
DB00093,MESH:D007683,DB00067
DB00093,MESH:D018879,DB00067
DB00093,MESH:D056987,DB00067
DB00093,MESH:D006470,DB00067
DB00093,MESH:D017202,DB00067
DB00006,MESH:D001927,DB00091
DB00006,MESH:D001928,DB00091
DB00006,MESH:D001930,DB00091
DB00006,MESH:D001943,DB00091
DB00006,MESH:D002114,DB00091
DB00006,MESH:D002294,DB00091
DB00006,MESH:D002375,DB00091
DB00006,MESH:D002471,DB00091
DB00006,MESH:D002494,DB00091
DB00006,MESH:D002543,DB00091
DB00006,MESH:D002561,DB00091
DB00006,MESH:D002769,DB00091
DB00006,MESH:D002779,DB00091
DB00006,MESH:D002780,DB00091
DB00006,MESH:D003072,DB00091
DB00006,MESH:D003093,DB00091
DB00006,MESH:D003128,DB00091
DB00006,MESH:D003221,DB00091
DB00006,MESH:D003556,DB00091
DB00006,MESH:D003693,DB00091
DB00006,MESH:D003866,DB00091
DB00006,MESH:D003920,DB00091
DB00006,MESH:D003967,DB00091
DB00006,MESH:D004409,DB00091
DB00006,MESH:D004751,DB00091
DB00006,MESH:D005076,DB00091
DB00006,MESH:D005128,DB00091
DB00006,MESH:D005158,DB00091
DB00006,MESH:D005221,DB00091
DB00006,MESH:D005234,DB00091
DB00006,MESH:D005334,DB00091
DB00006,MESH:D005355,DB00091
DB00006,MESH:D005483,DB00091
DB00006,MESH:D005767,DB00091
DB00006,MESH:D005885,DB00091
DB00006,MESH:D005886,DB00091
DB00006,MESH:D005891,DB00091
DB00006,MESH:D005923,DB00091
DB00006,MESH:D006073,DB00091
DB00006,MESH:D006086,DB00091
DB00006,MESH:D006212,DB00091
DB00006,MESH:D006261,DB00091
DB00006,MESH:D006311,DB00091
DB00006,MESH:D006319,DB00091
DB00006,MESH:D006331,DB00091
DB00006,MESH:D006402,DB00091
DB00006,MESH:D006417,DB00091
DB00006,MESH:D006457,DB00091
DB00006,MESH:D006463,DB00091
DB00006,MESH:D006504,DB00091
