,DB00006,DB00007,DB00014,DB00027,DB00035,DB00050,DB00067,DB00080,DB00091,DB00093
DB00006,1,0.653876,0.542106,0.4245,0.579285,0.660194,0.500225,0.369138,0.210487,0.480933
DB00007,0.653876,1,0.764426,0.504525,0.543545,0.644261,0.445894,0.420447,0.220054,0.423405
DB00014,0.542106,0.764426,1,0.470612,0.471285,0.588048,0.51128,0.393017,0.221336,0.424806
DB00027,0.4245,0.504525,0.470612,1,0.27931,0.363857,0.274957,0.461143,0.189908,0.293725
DB00035,0.579285,0.543545,0.471285,0.27931,1,0.528471,0.8378,0.338105,0.232574,0.83905
DB00050,0.660194,0.644261,0.588048,0.363857,0.528471,1,0.460207,0.304539,0.187099,0.438183
DB00067,0.500225,0.445894,0.51128,0.274957,0.8378,0.460207,1,0.351855,0.240999,0.936103
DB00080,0.369138,0.420447,0.393017,0.461143,0.338105,0.304539,0.351855,1,0.311226,0.375872
DB00091,0.210487,0.220054,0.221336,0.189908,0.232574,0.187099,0.240999,0.311226,1,0.244577
DB00093,0.480933,0.423405,0.424806,0.293725,0.83905,0.438183,0.936103,0.375872,0.244577,1
