keys,values,DrugID,DiseaseID
DB00050|MESH:D051436,0.187,DB00050,MESH:D051436
DB00050|MESH:D005891,0.187,DB00050,MESH:D005891
DB00050|MESH:D006311,0.187,DB00050,MESH:D006311
DB00050|MESH:D006977,0.187,DB00050,MESH:D006977
DB00050|MESH:D009140,0.187,DB00050,MESH:D009140
DB00050|MESH:D008107,0.492,DB00050,MESH:D008107
DB00050|MESH:D019214,0.187,DB00050,MESH:D019214
DB00050|MESH:D011023,0.305,DB00050,MESH:D011023
DB00050|MESH:D009503,0.187,DB00050,MESH:D009503
DB00050|MESH:D006628,0.187,DB00050,MESH:D006628
DB00050|MESH:D011471,1.232,DB00050,MESH:D011471
DB00050|MESH:D010148,0.187,DB00050,MESH:D010148
DB00050|MESH:D005483,0.187,DB00050,MESH:D005483
DB00050|MESH:D010292,0.187,DB00050,MESH:D010292
DB00050|MESH:D006457,0.187,DB00050,MESH:D006457
DB00050|MESH:D011697,0.187,DB00050,MESH:D011697
DB00050|MESH:D003865,0.644,DB00050,MESH:D003865
DB00050|MESH:D056987,0.46,DB00050,MESH:D056987
DB00050|MESH:D015866,0.187,DB00050,MESH:D015866
DB00050|MESH:D012769,0.187,DB00050,MESH:D012769
DB00050|MESH:D013927,0.847,DB00050,MESH:D013927
DB00050|MESH:D002561,0.187,DB00050,MESH:D002561
DB00050|MESH:D008796,0.644,DB00050,MESH:D008796
DB00050|MESH:D009220,0.644,DB00050,MESH:D009220
DB00050|MESH:D048909,0.66,DB00050,MESH:D048909
DB00050|MESH:D006526,0.187,DB00050,MESH:D006526
DB00050|MESH:D006073,0.187,DB00050,MESH:D006073
DB00050|MESH:D002114,0.187,DB00050,MESH:D002114
DB00050|MESH:D018149,0.187,DB00050,MESH:D018149
DB00050|MESH:D013262,0.492,DB00050,MESH:D013262
DB00050|MESH:D015427,0.187,DB00050,MESH:D015427
DB00050|MESH:D006505,0.588,DB00050,MESH:D006505
DB00050|MESH:D010899,0.644,DB00050,MESH:D010899
DB00050|MESH:D005334,0.187,DB00050,MESH:D005334
DB00050|MESH:D054038,0.187,DB00050,MESH:D054038
DB00050|MESH:D009135,1.574,DB00050,MESH:D009135
DB00050|MESH:D020767,0.528,DB00050,MESH:D020767
DB00050|MESH:D006949,0.187,DB00050,MESH:D006949
DB00050|MESH:D012516,0.187,DB00050,MESH:D012516
DB00050|MESH:D010523,0.187,DB00050,MESH:D010523
DB00050|MESH:D009468,0.187,DB00050,MESH:D009468
DB00050|MESH:D010392,0.187,DB00050,MESH:D010392
DB00050|MESH:D013610,0.716,DB00050,MESH:D013610
DB00050|OMIM:146850,0.187,DB00050,OMIM:146850
DB00050|MESH:D003328,0.66,DB00050,MESH:D003328
DB00050|MESH:D007022,0.46,DB00050,MESH:D007022
DB00050|MESH:D006965,0.187,DB00050,MESH:D006965
DB00050|MESH:D003128,0.716,DB00050,MESH:D003128
DB00050|MESH:D014202,0.187,DB00050,MESH:D014202
DB00050|MESH:D011230,0.187,DB00050,MESH:D011230
DB00050|MESH:D002471,0.187,DB00050,MESH:D002471
DB00050|MESH:D006463,0.187,DB00050,MESH:D006463
DB00050|MESH:D050500,0.187,DB00050,MESH:D050500
DB00050|MESH:D033461,0.187,DB00050,MESH:D033461
DB00050|MESH:D013086,0.187,DB00050,MESH:D013086
DB00050|MESH:D020790,0.528,DB00050,MESH:D020790
DB00050|MESH:D003693,0.187,DB00050,MESH:D003693
DB00050|MESH:D011507,0.187,DB00050,MESH:D011507
DB00050|MESH:D013226,0.187,DB00050,MESH:D013226
DB00050|MESH:D018366,0.644,DB00050,MESH:D018366
DB00050|MESH:D009404,0.187,DB00050,MESH:D009404
DB00050|MESH:D010195,0.187,DB00050,MESH:D010195
DB00050|MESH:D009437,0.187,DB00050,MESH:D009437
DB00050|MESH:D057772,0.187,DB00050,MESH:D057772
DB00050|MESH:D005158,0.187,DB00050,MESH:D005158
DB00050|MESH:D007674,0.492,DB00050,MESH:D007674
DB00050|MESH:D006474,0.528,DB00050,MESH:D006474
DB00050|MESH:D012008,0.187,DB00050,MESH:D012008
DB00050|MESH:D016920,0.305,DB00050,MESH:D016920
DB00050|MESH:D007172,0.644,DB00050,MESH:D007172
DB00050|MESH:D012772,0.305,DB00050,MESH:D012772
DB00050|MESH:D005923,0.187,DB00050,MESH:D005923
DB00050|MESH:D009069,0.187,DB00050,MESH:D009069
DB00050|MESH:D001928,0.187,DB00050,MESH:D001928
DB00050|MESH:D005355,0.187,DB00050,MESH:D005355
DB00050|MESH:D013923,0.187,DB00050,MESH:D013923
DB00050|MESH:D019575,0.187,DB00050,MESH:D019575
DB00050|MESH:D006086,0.187,DB00050,MESH:D006086
DB00050|MESH:D001919,0.46,DB00050,MESH:D001919
DB00050|MESH:D017114,0.187,DB00050,MESH:D017114
DB00050|MESH:D003093,0.187,DB00050,MESH:D003093
DB00050|MESH:D004195,0.644,DB00050,MESH:D004195
DB00050|MESH:D007968,0.187,DB00050,MESH:D007968
DB00050|MESH:D007511,0.66,DB00050,MESH:D007511
DB00050|MESH:D003550,0.528,DB00050,MESH:D003550
DB00050|MESH:D009422,0.187,DB00050,MESH:D009422
DB00050|MESH:D005221,0.187,DB00050,MESH:D005221
DB00050|MESH:D004775,0.528,DB00050,MESH:D004775
DB00050|MESH:D006973,1.154,DB00050,MESH:D006973
DB00050|MESH:D020258,0.187,DB00050,MESH:D020258
DB00050|MESH:D012206,0.492,DB00050,MESH:D012206
DB00050|MESH:D008595,0.528,DB00050,MESH:D008595
DB00050|MESH:D006504,0.187,DB00050,MESH:D006504
DB00050|MESH:D012640,0.716,DB00050,MESH:D012640
DB00050|MESH:D014652,0.187,DB00050,MESH:D014652
DB00050|MESH:D019586,0.644,DB00050,MESH:D019586
DB00050|MESH:D019584,1.232,DB00050,MESH:D019584
DB00050|MESH:D015431,0.187,DB00050,MESH:D015431
DB00050|MESH:D006417,0.647,DB00050,MESH:D006417
DB00050|MESH:D009336,1.085,DB00050,MESH:D009336
DB00050|MESH:D002375,0.831,DB00050,MESH:D002375
DB00050|MESH:D015228,0.187,DB00050,MESH:D015228
DB00050|MESH:D017379,0.187,DB00050,MESH:D017379
DB00050|MESH:D050171,0.187,DB00050,MESH:D050171
DB00050|MESH:D011704,0.305,DB00050,MESH:D011704
DB00050|MESH:D009402,0.187,DB00050,MESH:D009402
DB00050|MESH:D003638,0.364,DB00050,MESH:D003638
DB00050|MESH:D007683,0.647,DB00050,MESH:D007683
DB00050|MESH:D009395,0.187,DB00050,MESH:D009395
DB00050|MESH:D007638,0.187,DB00050,MESH:D007638
DB00050|MESH:D005076,0.187,DB00050,MESH:D005076
DB00050|MESH:D058186,0.492,DB00050,MESH:D058186
DB00050|MESH:D020141,0.187,DB00050,MESH:D020141
