end_list,start_list,value_list,start,end,value,multiply_value,indexResult
DB00523,DB00755,1.0,DB00523,DB00982,1.0,1.0,1.0
DB00523,DB00982,1.0,DB00523,DB00755,1.0,1.0,1.0
DB00154,DB14104,1.0,DB00154,DB04557,0.941357,0.941357,0.7609737762935157
DB00154,DB04557,0.941357,DB00154,DB14104,1.0,0.941357,0.7609737762935157
DB00154,DB04224,0.94054,DB00154,DB14104,1.0,0.94054,0.7579931164312584
DB00154,DB04257,0.94054,DB00154,DB14104,1.0,0.94054,0.7579931164312584
DB00445,DB00997,1.0,DB00445,DB00694,0.934331,0.934331,0.7356367690152857
DB00445,DB00694,0.934331,DB00445,DB00997,1.0,0.934331,0.7356367690152857
DB00452,DB01421,0.98773,DB00452,DB03615,0.936784,0.92528966032,0.7040041923674345
DB00452,DB03615,0.936784,DB00452,DB01421,0.98773,0.92528966032,0.7040041923674345
DB00297,DB00296,0.925289,DB00297,DB01002,1.0,0.925289,0.7040019215099621
DB00297,DB01002,1.0,DB00297,DB00296,0.925289,0.925289,0.7040019215099621
DB00443,DB00620,0.924693,DB00443,DB01234,1.0,0.924693,0.7019545870972087
DB00443,DB01234,1.0,DB00443,DB00620,0.924693,0.924693,0.7019545870972087
DB00154,DB14088,0.902134,DB00154,DB14104,1.0,0.902134,0.6278055497596252
DB00523,DB06755,0.891991,DB00523,DB00982,1.0,0.891991,0.596525942405967
DB00178,DB00519,0.981481,DB00178,DB14208,0.904515,0.887764286715,0.5838556252245428
DB00178,DB14208,0.904515,DB00178,DB00519,0.981481,0.887764286715,0.5838556252245428
DB00443,DB14649,0.885823,DB00443,DB01234,1.0,0.885823,0.578106995478601
DB00154,DB00132,0.884615,DB00154,DB14104,1.0,0.884615,0.5745521213593416
DB00445,DB11616,0.883789,DB00445,DB00997,1.0,0.883789,0.5721312044867145
DB00519,DB00790,0.893237,DB00519,DB00178,0.981481,0.876695143997,0.551665311518622
DB00519,DB00178,0.981481,DB00519,DB00790,0.893237,0.876695143997,0.551665311518622
DB00485,DB00301,0.956847,DB00485,DB01147,0.912421,0.8730472965870001,0.5413656909158121
DB00485,DB01147,0.912421,DB00485,DB00301,0.956847,0.8730472965870001,0.5413656909158121
DB00445,DB11618,0.872385,DB00445,DB00997,1.0,0.872385,0.5395118859271798
DB00199,DB00207,0.893651,DB00199,DB01211,0.958426,0.856498353326,0.4965053427684232
DB00199,DB01211,0.958426,DB00199,DB00207,0.893651,0.856498353326,0.4965053427684232
DB00296,DB00297,0.925289,DB00296,DB01002,0.925289,0.856159733521,0.4956187054897188
DB00509,DB00279,0.854017,DB00509,DB00451,1.0,0.854017,0.4900367506371249
DB00509,DB00451,1.0,DB00509,DB00279,0.854017,0.854017,0.4900367506371249
DB00451,DB00509,1.0,DB00451,DB00279,0.854017,0.854017,0.4900367506371249
DB00341,DB00557,0.853913,DB00341,DB06282,1.0,0.853913,0.48976707555000015
DB00341,DB06282,1.0,DB00341,DB00557,0.853913,0.853913,0.48976707555000015
DB00301,DB00485,0.956847,DB00301,DB01147,0.888921,0.850561392087,0.48113794514531105
DB00485,DB00713,0.881068,DB00485,DB00301,0.956847,0.843047272596,0.46222210734924607
DB00445,DB01177,0.839254,DB00445,DB00997,1.0,0.839254,0.45289576291459815
DB00154,DB06689,0.837611,DB00154,DB14104,1.0,0.837611,0.44890198103428686
DB00199,DB00778,0.873364,DB00199,DB01211,0.958426,0.837054765064,0.447556126122041
DB00367,DB09389,1.0,DB00367,DB00717,0.835619,0.835619,0.4440966981860291
DB00367,DB00717,0.835619,DB00367,DB09389,1.0,0.835619,0.4440966981860291
DB00200,DB11191,0.875107,DB00200,DB03614,0.9532,0.8341519924,0.4405835372897446
DB00200,DB03614,0.9532,DB00200,DB11191,0.875107,0.8341519924,0.4405835372897446
DB00443,DB00223,0.833333,DB00443,DB01234,1.0,0.833333,0.4386316673128417
DB00367,DB00294,0.829341,DB00367,DB09389,1.0,0.829341,0.4292138969751393
DB00493,DB13504,0.885303,DB00493,DB01416,0.936626,0.8291978076779999,0.4288790342309556
DB00493,DB01416,0.936626,DB00493,DB13504,0.885303,0.8291978076779999,0.4288790342309556
DB00523,DB00162,0.820513,DB00523,DB00755,1.0,0.820513,0.40894632302431705
DB00297,DB00961,0.818344,DB00297,DB01002,1.0,0.818344,0.4040827206755815
DB00093,DB02638,0.872093,DB00093,DB00067,0.936103,0.816368873579,0.3996931433357733
DB00093,DB00067,0.936103,DB00093,DB02638,0.872093,0.816368873579,0.3996931433357733
DB00067,DB00093,0.936103,DB00067,DB02638,0.867392,0.8119682533760001,0.39004660594164936
DB00194,DB01073,0.810711,DB00194,DB00640,1.0,0.810711,0.3873241861577713
DB00194,DB00640,1.0,DB00194,DB01073,0.810711,0.810711,0.3873241861577713
DB00419,DB14872,1.0,DB00419,DB00491,0.810093,0.810093,0.3859914236166628
DB00419,DB00491,0.810093,DB00419,DB14872,1.0,0.810093,0.3859914236166628
DB00154,DB04519,0.808608,DB00154,DB14104,1.0,0.808608,0.3828035110672269
DB00154,DB03193,0.808608,DB00154,DB14104,1.0,0.808608,0.3828035110672269
DB00154,DB03796,0.808608,DB00154,DB14104,1.0,0.808608,0.3828035110672269
DB00541,DB00570,0.941812,DB00541,DB00309,0.857155,0.80727886486,0.379967623745409
DB00541,DB00309,0.857155,DB00541,DB00570,0.941812,0.80727886486,0.379967623745409
DB00523,DB05076,0.807207,DB00523,DB00755,1.0,0.807207,0.3798147580681416
DB00451,DB01583,0.80403,DB00451,DB00509,1.0,0.80403,0.373104584686419
DB00367,DB06730,0.800044,DB00367,DB09389,1.0,0.800044,0.3648166943615811
DB00443,DB00764,0.796296,DB00443,DB01234,1.0,0.796296,0.3571551315626219
DB00433,DB12710,0.894427,DB00433,DB00850,0.888957,0.795107142639,0.3547512708287252
DB00433,DB00850,0.888957,DB00433,DB12710,0.894427,0.795107142639,0.3547512708287252
DB00493,DB00267,0.848548,DB00493,DB01416,0.936626,0.7947721190479999,0.3540761367095109
DB00136,DB01436,0.899423,DB00136,DB00146,0.882919,0.794117655737,0.35276015959979656
DB00136,DB00146,0.882919,DB00136,DB01436,0.899423,0.794117655737,0.35276015959979656
DB00178,DB00584,0.80829,DB00178,DB00519,0.981481,0.79332127749,0.35116396463182153
DB00146,DB00136,0.882919,DB00146,DB00169,0.897549,0.7924630655310001,0.34945013786162493
DB00146,DB00169,0.897549,DB00146,DB00136,0.882919,0.7924630655310001,0.34945013786162493
DB00390,DB01078,0.887982,DB00390,DB01396,0.892308,0.792353442456,0.34923169348706223
DB00390,DB01396,0.892308,DB00390,DB01078,0.887982,0.792353442456,0.34923169348706223
DB00415,DB01060,0.913259,DB00415,DB00578,0.866667,0.791491437753,0.34751769203220817
DB00415,DB00578,0.866667,DB00415,DB01060,0.913259,0.791491437753,0.34751769203220817
DB00136,DB06272,0.877328,DB00136,DB01436,0.899423,0.789088981744,0.34277522630686613
DB00512,DB06402,0.849072,DB00512,DB04911,0.925391,0.785723587152,0.3362168337916909
DB00512,DB04911,0.925391,DB00512,DB06402,0.849072,0.785723587152,0.3362168337916909
DB00093,DB00035,0.83905,DB00093,DB00067,0.936103,0.78543722215,0.3356633187139011
DB00199,DB00954,0.818818,DB00199,DB01211,0.958426,0.7847764604680001,0.3343888398428522
DB00318,DB01466,0.889297,DB00318,DB00295,0.88218,0.7845200274599999,0.3338952475113782
DB00318,DB00295,0.88218,DB00318,DB01466,0.889297,0.7845200274599999,0.3338952475113782
DB00309,DB00541,0.857155,DB00309,DB00570,0.914894,0.78420596657,0.33329150396700835
DB00445,DB00385,0.782824,DB00445,DB00997,1.0,0.782824,0.33064493638377007
DB00132,DB00154,0.884615,DB00132,DB14104,0.884615,0.782543698225,0.33011014015851964
DB00493,DB01212,0.831632,DB00493,DB01416,0.936626,0.778928153632,0.3232721218841859
DB00443,DB01013,0.777714,DB00443,DB01234,1.0,0.777714,0.32100073342977686
DB00136,DB13689,0.862712,DB00136,DB01436,0.899423,0.7759430151760001,0.31770995491527304
DB00207,DB00199,0.893651,DB00207,DB01211,0.865576,0.773522857976,0.3132554577503
DB00194,DB01752,0.772328,DB00194,DB00640,1.0,0.772328,0.31107423789603794
DB00194,DB00171,0.772328,DB00194,DB00640,1.0,0.772328,0.31107423789603794
DB00541,DB11641,0.818752,DB00541,DB00570,0.941812,0.7711104586240001,0.30886379461100477
DB00223,DB12553,0.924693,DB00223,DB01234,0.833333,0.770577191769,0.307899510916346
DB00223,DB00443,0.833333,DB00223,DB12553,0.924693,0.770577191769,0.307899510916346
DB00401,DB09229,0.857195,DB00401,DB01115,0.896854,0.76877876453,0.30466476571729023
DB00401,DB01115,0.896854,DB00401,DB09229,0.857195,0.76877876453,0.30466476571729023
DB00443,DB00547,0.766389,DB00443,DB01234,1.0,0.766389,0.3004074281956944
DB00320,DB13345,0.920401,DB00320,DB00696,0.827224,0.761377796824,0.2916304979710412
