DrugID,DiseaseID
DB00183,MESH:D010033
DB00460,MESH:D012480
DB00946,MESH:D017676
DB01446,MESH:D013920
DB04786,MESH:D020267
DB01446,MESH:D006934
DB00712,MESH:D006341
DB09070,MESH:D003882
DB13014,MESH:D004806
DB05790,MESH:D019954
DB01575,MESH:D015354
DB00655,MESH:D006529
DB13014,MESH:D017086
DB01917,MESH:D018827
DB00946,MESH:D019954
DB05964,MESH:D015428
DB00332,MESH:D011604
DB05087,MESH:D011625
DB01672,MESH:D018200
DB00595,MESH:D008580
DB00439,MESH:D003924
DB00779,MESH:D011665
DB01447,MESH:D006480
DB01353,MESH:D061205
DB00595,MESH:D009896
DB00655,MESH:D003248
DB12531,MESH:D051799
DB08881,MESH:D008172
DB00813,MESH:D018235
DB01353,MESH:D010241
DB09073,MESH:D003677
DB08881,MESH:D017714
DB00779,MESH:D005596
DB01164,MESH:D002805
DB01164,MESH:D012585
DB13014,MESH:D015440
DB11141,MESH:D063766
DB09070,MESH:D020250
DB01447,MESH:D004719
DB00348,MESH:D012559
DB01137,MESH:D045823
DB01446,MESH:D009157
DB00576,MESH:D056648
DB00882,MESH:D018276
DB01776,MESH:D017543
DB14090,MESH:D018357
DB00176,MESH:D014511
DB05790,MESH:D014987
DB01178,MESH:D020773
DB04076,MESH:D021182
DB05316,MESH:D018248
DB06159,MESH:D007905
DB00556,MESH:D010241
DB00295,MESH:D011618
DB01447,MESH:D009128
DB00295,MESH:D018226
DB06335,MESH:D059606
DB05057,MESH:D010005
DB00460,MESH:D013587
DB00439,MESH:D006374
DB00655,MESH:D056006
DB05316,MESH:D007819
DB14090,MESH:D014126
DB01137,MESH:D004681
DB02650,MESH:D008664
DB00813,MESH:D045745
DB04076,MESH:D020019
DB01164,MESH:D010939
DB00946,MESH:D011488
DB01353,MESH:D010534
DB00655,MESH:D010373
DB00439,MESH:D009057
DB06211,MESH:D008068
DB00655,MESH:D058447
DB00381,MESH:D012851
DB11141,MESH:D065606
DB01373,MESH:D006953
DB01672,MESH:D010192
DB00655,MESH:D016400
DB05790,MESH:D013352
DB05964,MESH:D007020
DB00348,MESH:D019578
DB05964,MESH:D003554
DB01672,MESH:D008288
DB14574,MESH:D014826
DB00576,MESH:D012569
DB00183,MESH:D018458
DB13014,MESH:D019052
DB00917,MESH:D016857
DB00295,MESH:D009164
DB08804,MESH:D003773
DB01178,MESH:D003428
DB01280,MESH:D014012
DB00576,MESH:D002100
DB05964,MESH:D010998
DB04786,MESH:D041761
DB00460,MESH:D010864
DB01084,MESH:D007942
DB09070,MESH:D012010
DB00882,MESH:D012183
DB12531,MESH:D011618
DB02650,MESH:D009408
DB09070,MESH:D010217
DB08881,MESH:D014883
DB00946,MESH:D017036
DB01447,MESH:D015210
DB05087,MESH:D029424
DB01137,MESH:D054517
DB11151,MESH:D012818
DB08804,MESH:D054059
DB06153,MESH:D053714
DB02650,MESH:D005199
DB01645,MESH:D013585
DB01164,MESH:D020176
DB01672,MESH:D015270
DB00460,MESH:D002780
DB11387,MESH:D010438
DB00183,MESH:D018263
