start_list,end_list,value_list
DB00006,DB00007,0.653876
DB00006,DB00014,0.542106
DB00006,DB00027,0.4245
DB00006,DB00035,0.579285
DB00006,DB00050,0.660194
DB00006,DB00067,0.500225
DB00006,DB00080,0.369138
DB00006,DB00091,0.210487
DB00006,DB00093,0.480933
DB00007,DB00006,0.653876
DB00007,DB00014,0.764426
DB00007,DB00027,0.504525
DB00007,DB00035,0.543545
DB00007,DB00050,0.644261
DB00007,DB00067,0.445894
DB00007,DB00080,0.420447
DB00007,DB00091,0.220054
DB00007,DB00093,0.423405
DB00014,DB00006,0.542106
DB00014,DB00007,0.764426
DB00014,DB00027,0.470612
DB00014,DB00035,0.471285
DB00014,DB00050,0.588048
DB00014,DB00067,0.51128
DB00014,DB00080,0.393017
DB00014,DB00091,0.221336
DB00014,DB00093,0.424806
DB00027,DB00006,0.4245
DB00027,DB00007,0.504525
DB00027,DB00014,0.470612
DB00027,DB00035,0.27931
DB00027,DB00050,0.363857
DB00027,DB00067,0.274957
DB00027,DB00080,0.461143
DB00027,DB00091,0.189908
DB00027,DB00093,0.293725
DB00035,DB00006,0.579285
DB00035,DB00007,0.543545
DB00035,DB00014,0.471285
DB00035,DB00027,0.27931
DB00035,DB00050,0.528471
DB00035,DB00067,0.8378
DB00035,DB00080,0.338105
DB00035,DB00091,0.232574
DB00035,DB00093,0.83905
DB00050,DB00006,0.660194
DB00050,DB00007,0.644261
DB00050,DB00014,0.588048
DB00050,DB00027,0.363857
DB00050,DB00035,0.528471
DB00050,DB00067,0.460207
DB00050,DB00080,0.304539
DB00050,DB00091,0.187099
DB00050,DB00093,0.438183
DB00067,DB00006,0.500225
DB00067,DB00007,0.445894
DB00067,DB00014,0.51128
DB00067,DB00027,0.274957
DB00067,DB00035,0.8378
DB00067,DB00050,0.460207
DB00067,DB00080,0.351855
DB00067,DB00091,0.240999
DB00067,DB00093,0.936103
DB00080,DB00006,0.369138
DB00080,DB00007,0.420447
DB00080,DB00014,0.393017
DB00080,DB00027,0.461143
DB00080,DB00035,0.338105
DB00080,DB00050,0.304539
DB00080,DB00067,0.351855
DB00080,DB00091,0.311226
DB00080,DB00093,0.375872
DB00091,DB00006,0.210487
DB00091,DB00007,0.220054
DB00091,DB00014,0.221336
DB00091,DB00027,0.189908
DB00091,DB00035,0.232574
DB00091,DB00050,0.187099
DB00091,DB00067,0.240999
DB00091,DB00080,0.311226
DB00091,DB00093,0.244577
DB00093,DB00006,0.480933
DB00093,DB00007,0.423405
DB00093,DB00014,0.424806
DB00093,DB00027,0.293725
DB00093,DB00035,0.83905
DB00093,DB00050,0.438183
DB00093,DB00067,0.936103
DB00093,DB00080,0.375872
DB00093,DB00091,0.244577
