DrugID,DiseaseID
DB14509,MESH:C531609
DB00996,MESH:C531617
DB00740,MESH:C531617
DB01083,MESH:C531755
DB00759,MESH:C531795
DB00819,MESH:C531795
DB00162,MESH:C531795
DB00795,MESH:C531795
DB00982,MESH:C531795
DB01017,MESH:C531795
DB01406,MESH:C531795
DB00997,MESH:C531835
DB02502,MESH:C535306
DB00993,MESH:C535323
DB00480,MESH:C535323
DB00871,MESH:C535352
DB14001,MESH:C535393
DB00370,MESH:C535402
DB00476,MESH:C535402
DB00285,MESH:C535402
DB00968,MESH:C535402
DB00338,MESH:C535402
DB00333,MESH:C535402
DB01233,MESH:C535402
DB00281,MESH:C535438
DB01396,MESH:C535438
DB00390,MESH:C535438
DB01426,MESH:C535438
DB06757,MESH:C535464
DB11588,MESH:C535464
DB00898,MESH:C535464
DB00454,MESH:C535469
DB00305,MESH:C535474
DB00182,MESH:C535485
DB01202,MESH:C535500
DB00949,MESH:C535500
DB00860,MESH:C535500
DB00819,MESH:C535506
DB01041,MESH:C535531
DB00982,MESH:C535542
DB00915,MESH:C535563
DB00584,MESH:C535581
DB01118,MESH:C535581
DB01136,MESH:C535581
DB00148,MESH:C535598
DB00997,MESH:C535648
DB11841,MESH:C535650
DB12200,MESH:C535650
DB00982,MESH:C535670
DB00583,MESH:C535682
DB00641,MESH:C535686
DB01181,MESH:C535700
DB00091,MESH:C535761
DB00635,MESH:C535761
DB00993,MESH:C535761
DB01080,MESH:C535803
DB01440,MESH:C535803
DB00937,MESH:C535833
DB14206,MESH:C535833
DB00574,MESH:C535833
DB00104,MESH:C535838
DB01586,MESH:C535932
DB01586,MESH:C535933
DB00997,MESH:C535944
DB00851,MESH:C535944
DB00958,MESH:C535944
DB01017,MESH:C535953
DB09130,MESH:C536004
DB01592,MESH:C536004
DB03057,MESH:C536004
DB00358,MESH:C536010
DB00282,MESH:C536063
DB01026,MESH:C536082
DB01115,MESH:C536096
DB00661,MESH:C536096
DB00818,MESH:C536096
DB00252,MESH:C536226
DB00500,MESH:C536312
DB00788,MESH:C536312
DB08889,MESH:C536330
DB00388,MESH:C536334
DB00489,MESH:C536334
DB01393,MESH:C536353
DB01592,MESH:C536357
DB00178,MESH:C536380
DB00859,MESH:C536380
DB00945,MESH:C536392
DB00487,MESH:C536404
DB00215,MESH:C536421
DB00661,MESH:C536421
DB00699,MESH:C536421
DB00320,MESH:C536421
DB00604,MESH:C536421
DB00945,MESH:C536421
DB00335,MESH:C536421
DB00531,MESH:C536421
DB00315,MESH:C536421
DB01115,MESH:C536421
DB00343,MESH:C536421
DB00544,MESH:C536421
DB01169,MESH:C536494
DB00997,MESH:C536495
DB00091,MESH:C536522
DB01556,MESH:C536522
DB01394,MESH:C536522
DB00608,MESH:C536522
DB00313,MESH:C536525
DB00570,MESH:C536572
DB00501,MESH:C536572
DB08621,MESH:C536572
DB00563,MESH:C536572
DB13069,MESH:C536572
DB02709,MESH:C536572
DB00997,MESH:C536572
DB00437,MESH:C536572
DB00541,MESH:C536572
DB00531,MESH:C536572
DB00544,MESH:C536572
DB00291,MESH:C536572
DB01008,MESH:C536572
DB00993,MESH:C536572
DB06757,MESH:C536595
DB01109,MESH:C536610
DB00682,MESH:C536683
DB00413,MESH:C536694
DB01110,MESH:C536777
DB00582,MESH:C536777
DB01167,MESH:C536777
DB00681,MESH:C536777
DB00196,MESH:C536777
DB01026,MESH:C536777
DB00313,MESH:C536778
DB01604,MESH:C536778
DB00252,MESH:C536779
DB00242,MESH:C536783
DB01373,MESH:C536797
DB00300,MESH:C536855
DB01601,MESH:C536855
DB00900,MESH:C536855
DB02901,MESH:C536875
DB04743,MESH:C536875
DB13765,MESH:C536875
DB09140,MESH:C536875
DB00907,MESH:C536884
DB00859,MESH:C536901
DB02709,MESH:C536914
DB00620,MESH:C536957
DB01217,MESH:C536961
DB00624,MESH:C536961
DB01026,MESH:C536961
DB00794,MESH:C537030
DB00252,MESH:C537030
DB00313,MESH:C537030
DB08895,MESH:C537055
DB01200,MESH:C537072
DB00381,MESH:C537095
DB00584,MESH:C537095
DB00264,MESH:C537095
DB01119,MESH:C537150
DB00515,MESH:C537152
DB00594,MESH:C537152
DB00479,MESH:C537152
DB00314,MESH:C537152
DB00864,MESH:C537152
DB00653,MESH:C537152
DB00681,MESH:C537152
DB00958,MESH:C537152
DB00448,MESH:C537153
DB00314,MESH:C537153
DB14513,MESH:C537153
DB14500,MESH:C537153
DB00864,MESH:C537153
DB00695,MESH:C537153
DB06724,MESH:C537156
DB01436,MESH:C537156
DB01223,MESH:C537181
DB00201,MESH:C537181
DB00755,MESH:C537221
DB03843,MESH:C537268
DB00515,MESH:C537296
DB09010,MESH:C537296
DB00675,MESH:C537296
DB00973,MESH:C537345
DB04183,MESH:C537358
DB05383,MESH:C537358
DB01042,MESH:C537372
DB00202,MESH:C537417
DB01226,MESH:C537417
DB01011,MESH:C537422
DB00741,MESH:C537422
DB00495,MESH:C537476
DB01219,MESH:C537480
DB01235,MESH:C537537
DB00591,MESH:C537630
DB00121,MESH:C537658
DB00153,MESH:C537700
DB00829,MESH:C537748
DB00313,MESH:C537757
DB00428,MESH:C537757
DB00993,MESH:C537814
DB00515,MESH:C537844
DB00958,MESH:C537844
DB00541,MESH:C537844
DB01229,MESH:C537844
DB00290,MESH:C537844
DB00773,MESH:C537844
DB09130,MESH:C537860
DB00682,MESH:C537884
DB00252,MESH:C537922
DB02709,MESH:C537948
DB00157,MESH:C537948
DB00313,MESH:C537968
DB01235,MESH:C537968
DB00843,MESH:C537968
DB00945,MESH:C537996
DB01235,MESH:C538007
DB00162,MESH:C538011
DB00126,MESH:C538011
DB00993,MESH:C538045
DB00529,MESH:C538117
DB00459,MESH:C538169
DB00959,MESH:C538173
DB00722,MESH:C538173
DB05311,MESH:C538173
DB00668,MESH:C538173
DB00755,MESH:C538175
DB01593,MESH:C538178
DB04815,MESH:C538178
DB00389,MESH:C538250
DB00563,MESH:C538250
DB00635,MESH:C538250
DB00907,MESH:C538260
DB00977,MESH:C538263
DB00717,MESH:C538263
DB00958,MESH:C538268
DB00428,MESH:C538268
DB00997,MESH:C538370
DB00563,MESH:C538370
DB00515,MESH:C538370
DB01235,MESH:C538421
DB14509,MESH:C538446
DB01233,MESH:C538446
DB01017,MESH:C538458
DB00859,MESH:C538458
DB00763,MESH:C538458
DB00959,MESH:C538458
DB01103,MESH:C538481
DB00495,MESH:C538525
DB00943,MESH:C538525
DB02745,MESH:C538525
DB01119,MESH:C538543
DB00115,MESH:C538556
DB00641,MESH:C538646
DB00860,MESH:C540770
DB00974,MESH:C548016
DB01229,MESH:C554498
DB11203,MESH:C562393
DB15289,MESH:C562463
DB02509,MESH:C562463
DB01159,MESH:C562477
DB00977,MESH:C562565
DB04539,MESH:C562565
DB00898,MESH:C562568
DB00898,MESH:C562573
DB01026,MESH:C562581
DB01234,MESH:C562707
DB00741,MESH:C562707
DB01167,MESH:C562839
DB01169,MESH:C562839
DB00026,MESH:C562839
DB00631,MESH:C562839
DB02709,MESH:C562839
DB02502,MESH:C562839
DB00682,MESH:C562942
DB00755,MESH:C562992
DB02709,MESH:C563161
DB00515,MESH:C563236
DB00439,MESH:C563387
DB11132,MESH:C563515
DB01234,MESH:C563515
DB00888,MESH:C563515
