DiseaseID,number
MESH:C531609,1
MESH:C531617,2
MESH:C531755,3
MESH:C531795,4
MESH:C531835,5
MESH:C535306,6
MESH:C535323,7
MESH:C535352,8
MESH:C535393,9
MESH:C535402,10
MESH:C535438,11
MESH:C535464,12
MESH:C535469,13
MESH:C535474,14
MESH:C535485,15
MESH:C535500,16
MESH:C535506,17
MESH:C535531,18
MESH:C535542,19
MESH:C535563,20
MESH:C535581,21
MESH:C535598,22
MESH:C535648,23
MESH:C535650,24
MESH:C535670,25
MESH:C535682,26
MESH:C535686,27
MESH:C535700,28
MESH:C535761,29
MESH:C535803,30
MESH:C535833,31
MESH:C535838,32
MESH:C535932,33
MESH:C535933,34
MESH:C535944,35
MESH:C535953,36
MESH:C536004,37
MESH:C536010,38
MESH:C536063,39
MESH:C536082,40
MESH:C536096,41
MESH:C536226,42
MESH:C536312,43
MESH:C536330,44
MESH:C536334,45
MESH:C536353,46
MESH:C536357,47
MESH:C536380,48
MESH:C536392,49
MESH:C536404,50
MESH:C536421,51
MESH:C536494,52
MESH:C536495,53
MESH:C536522,54
MESH:C536525,55
MESH:C536572,56
MESH:C536595,57
MESH:C536610,58
MESH:C536683,59
MESH:C536694,60
MESH:C536777,61
MESH:C536778,62
MESH:C536779,63
MESH:C536783,64
MESH:C536797,65
MESH:C536855,66
MESH:C536875,67
MESH:C536884,68
MESH:C536901,69
MESH:C536914,70
MESH:C536957,71
MESH:C536961,72
MESH:C537030,73
MESH:C537055,74
MESH:C537072,75
MESH:C537095,76
MESH:C537150,77
MESH:C537152,78
MESH:C537153,79
MESH:C537156,80
MESH:C537181,81
MESH:C537221,82
MESH:C537268,83
MESH:C537296,84
MESH:C537345,85
MESH:C537358,86
MESH:C537372,87
MESH:C537417,88
MESH:C537422,89
MESH:C537476,90
MESH:C537480,91
MESH:C537537,92
MESH:C537630,93
MESH:C537658,94
MESH:C537700,95
MESH:C537748,96
MESH:C537757,97
MESH:C537814,98
MESH:C537844,99
MESH:C537860,100
MESH:C537884,101
MESH:C537922,102
MESH:C537948,103
MESH:C537968,104
MESH:C537996,105
MESH:C538007,106
MESH:C538011,107
MESH:C538045,108
MESH:C538117,109
MESH:C538169,110
MESH:C538173,111
MESH:C538175,112
MESH:C538178,113
MESH:C538250,114
MESH:C538260,115
MESH:C538263,116
MESH:C538268,117
MESH:C538370,118
MESH:C538421,119
MESH:C538446,120
MESH:C538458,121
MESH:C538481,122
MESH:C538525,123
