DrugID,number
DB00001,1376
DB00004,1377
DB00006,1378
DB00007,1379
DB00008,1380
DB00011,1381
DB00014,1382
DB00015,1383
DB00016,1384
DB00017,1385
DB00019,1386
DB00020,1387
DB00022,1388
DB00026,1389
DB00027,1390
DB00035,1391
DB00038,1392
DB00040,1393
DB00041,1394
DB00042,1395
DB00047,1396
DB00050,1397
DB00056,1398
DB00063,1399
DB00067,1400
DB00068,1401
DB00069,1402
DB00080,1403
DB00082,1404
DB00083,1405
DB00091,1406
DB00093,1407
DB00099,1408
DB00104,1409
DB00105,1410
DB00107,1411
DB00109,1412
DB00114,1413
DB00115,1414
DB00116,1415
DB00118,1416
DB00119,1417
DB00121,1418
DB00122,1419
DB00126,1420
DB00127,1421
DB00131,1422
DB00132,1423
DB00134,1424
DB00136,1425
DB00137,1426
DB00138,1427
DB00139,1428
DB00140,1429
DB00141,1430
DB00143,1431
DB00144,1432
DB00145,1433
DB00146,1434
DB00147,1435
DB00148,1436
DB00151,1437
DB00152,1438
DB00153,1439
DB00154,1440
DB00157,1441
DB00158,1442
DB00159,1443
DB00160,1444
DB00162,1445
DB00165,1446
DB00166,1447
DB00168,1448
DB00169,1449
DB00170,1450
DB00171,1451
DB00173,1452
DB00175,1453
DB00176,1454
DB00177,1455
DB00178,1456
DB00179,1457
DB00180,1458
DB00181,1459
DB00182,1460
DB00183,1461
DB00184,1462
DB00185,1463
DB00186,1464
DB00187,1465
DB00188,1466
DB00189,1467
DB00190,1468
DB00191,1469
DB00192,1470
DB00193,1471
DB00194,1472
DB00195,1473
DB00196,1474
DB00197,1475
DB00198,1476
DB00199,1477
DB00200,1478
DB00201,1479
DB00202,1480
DB00203,1481
DB00204,1482
DB00205,1483
DB00206,1484
DB00207,1485
DB00208,1486
DB00210,1487
DB00211,1488
DB00212,1489
DB00213,1490
DB00214,1491
DB00215,1492
DB00216,1493
DB00217,1494
DB00218,1495
DB00219,1496
DB00220,1497
DB00222,1498
DB00223,1499
DB00224,1500
DB00225,1501
DB00226,1502
DB00227,1503
DB00228,1504
DB00229,1505
DB00230,1506
DB00231,1507
DB00232,1508
DB00233,1509
DB00234,1510
DB00235,1511
DB00236,1512
DB00238,1513
DB00239,1514
DB00242,1515
DB00243,1516
DB00244,1517
DB00245,1518
DB00246,1519
DB00247,1520
DB00248,1521
DB00249,1522
DB00250,1523
DB00251,1524
DB00252,1525
DB00254,1526
DB00255,1527
DB00256,1528
DB00257,1529
DB00260,1530
DB00261,1531
DB00262,1532
DB00263,1533
DB00264,1534
DB00266,1535
DB00267,1536
DB00268,1537
DB00269,1538
DB00270,1539
DB00271,1540
DB00273,1541
DB00274,1542
DB00275,1543
DB00276,1544
DB00277,1545
DB00278,1546
DB00279,1547
DB00280,1548
DB00281,1549
DB00282,1550
DB00283,1551
DB00284,1552
DB00285,1553
DB00287,1554
DB00288,1555
DB00289,1556
DB00290,1557
DB00291,1558
DB00292,1559
DB00293,1560
DB00294,1561
DB00295,1562
DB00296,1563
DB00297,1564
DB00299,1565
DB00300,1566
DB00301,1567
DB00302,1568
DB00303,1569
DB00304,1570
DB00305,1571
DB00307,1572
DB00308,1573
DB00309,1574
DB00310,1575
DB00311,1576
DB00312,1577
DB00313,1578
DB00314,1579
DB00315,1580
DB00316,1581
DB00317,1582
DB00318,1583
DB00319,1584
DB00320,1585
DB00321,1586
DB00322,1587
DB00323,1588
DB00324,1589
DB00325,1590
DB00327,1591
DB00328,1592
DB00330,1593
DB00331,1594
DB00332,1595
DB00333,1596
DB00334,1597
DB00335,1598
DB00336,1599
DB00337,1600
DB00338,1601
DB00339,1602
DB00340,1603
DB00341,1604
DB00342,1605
DB00343,1606
DB00344,1607
DB00345,1608
DB00346,1609
DB00347,1610
DB00348,1611
DB00349,1612
DB00350,1613
DB00351,1614
DB00352,1615
DB00353,1616
DB00355,1617
DB00356,1618
DB00357,1619
DB00358,1620
DB00359,1621
DB00360,1622
DB00361,1623
DB00362,1624
DB00363,1625
DB00364,1626
DB00365,1627
DB00367,1628
DB00368,1629
DB00369,1630
DB00370,1631
DB00371,1632
DB00372,1633
DB00373,1634
DB00375,1635
DB00376,1636
DB00377,1637
DB00378,1638
DB00379,1639
DB00380,1640
DB00381,1641
DB00382,1642
DB00383,1643
DB00384,1644
DB00385,1645
DB00387,1646
DB00388,1647
DB00389,1648
DB00390,1649
DB00391,1650
DB00392,1651
DB00393,1652
DB00394,1653
DB00395,1654
DB00396,1655
DB00397,1656
DB00398,1657
DB00399,1658
DB00400,1659
DB00401,1660
DB00402,1661
DB00403,1662
DB00404,1663
DB00405,1664
DB00408,1665
DB00409,1666
DB00411,1667
DB00412,1668
DB00413,1669
DB00414,1670
DB00415,1671
DB00416,1672
DB00417,1673
DB00418,1674
DB00419,1675
DB00420,1676
DB00421,1677
DB00422,1678
DB00423,1679
DB00425,1680
DB00426,1681
DB00427,1682
DB00428,1683
DB00429,1684
DB00431,1685
DB00432,1686
DB00433,1687
DB00434,1688
DB00435,1689
DB00436,1690
DB00437,1691
DB00438,1692
DB00439,1693
DB00440,1694
DB00441,1695
DB00442,1696
DB00443,1697
DB00444,1698
DB00445,1699
DB00446,1700
DB00447,1701
DB00448,1702
DB00449,1703
DB00450,1704
DB00451,1705
DB00452,1706
DB00454,1707
DB00455,1708
DB00456,1709
DB00457,1710
DB00458,1711
DB00459,1712
DB00460,1713
DB00461,1714
DB00464,1715
DB00465,1716
DB00466,1717
DB00467,1718
DB00468,1719
DB00469,1720
DB00470,1721
DB00471,1722
DB00472,1723
DB00474,1724
DB00475,1725
DB00476,1726
DB00477,1727
DB00478,1728
DB00479,1729
DB00480,1730
DB00481,1731
DB00482,1732
DB00483,1733
DB00484,1734
DB00485,1735
DB00486,1736
DB00487,1737
DB00488,1738
DB00489,1739
DB00490,1740
DB00491,1741
DB00492,1742
DB00493,1743
DB00494,1744
DB00495,1745
DB00496,1746
DB00497,1747
DB00498,1748
DB00499,1749
DB00500,1750
DB00501,1751
DB00502,1752
DB00503,1753
DB00504,1754
DB00505,1755
DB00507,1756
DB00508,1757
DB00509,1758
DB00512,1759
DB00513,1760
DB00514,1761
DB00515,1762
DB00518,1763
DB00519,1764
DB00520,1765
DB00521,1766
DB00523,1767
DB00524,1768
DB00525,1769
DB00526,1770
DB00527,1771
DB00528,1772
DB00529,1773
DB00530,1774
DB00531,1775
DB00532,1776
DB00533,1777
DB00535,1778
DB00536,1779
DB00537,1780
DB00538,1781
DB00539,1782
DB00540,1783
DB00541,1784
DB00542,1785
DB00543,1786
DB00544,1787
DB00545,1788
DB00546,1789
DB00547,1790
DB00548,1791
DB00549,1792
DB00550,1793
DB00551,1794
DB00552,1795
DB00553,1796
DB00554,1797
DB00555,1798
DB00556,1799
DB00557,1800
DB00558,1801
DB00559,1802
DB00560,1803
DB00561,1804
DB00563,1805
DB00564,1806
DB00565,1807
DB00566,1808
DB00567,1809
DB00568,1810
DB00569,1811
DB00570,1812
DB00571,1813
DB00572,1814
DB00573,1815
DB00574,1816
DB00575,1817
DB00576,1818
DB00577,1819
DB00578,1820
DB00579,1821
DB00580,1822
DB00581,1823
DB00582,1824
DB00583,1825
DB00584,1826
DB00585,1827
DB00586,1828
DB00588,1829
DB00589,1830
DB00590,1831
DB00591,1832
DB00592,1833
DB00593,1834
DB00594,1835
DB00595,1836
DB00598,1837
DB00599,1838
DB00600,1839
DB00601,1840
DB00602,1841
DB00603,1842
DB00604,1843
DB00605,1844
DB00606,1845
DB00607,1846
DB00608,1847
DB00609,1848
DB00610,1849
DB00611,1850
DB00612,1851
DB00613,1852
DB00614,1853
DB00615,1854
DB00616,1855
DB00617,1856
DB00618,1857
DB00619,1858
DB00620,1859
DB00621,1860
DB00622,1861
DB00623,1862
DB00624,1863
DB00625,1864
DB00626,1865
DB00627,1866
DB00628,1867
DB00629,1868
DB00630,1869
DB00631,1870
DB00633,1871
DB00634,1872
DB00635,1873
DB00636,1874
DB00637,1875
DB00638,1876
DB00640,1877
DB00641,1878
DB00642,1879
DB00643,1880
DB00644,1881
DB00645,1882
DB00646,1883
DB00647,1884
DB00648,1885
DB00649,1886
DB00650,1887
DB00651,1888
DB00652,1889
DB00653,1890
DB00654,1891
DB00655,1892
DB00656,1893
DB00657,1894
DB00658,1895
DB00659,1896
DB00660,1897
DB00661,1898
DB00662,1899
DB00663,1900
DB00665,1901
DB00668,1902
DB00669,1903
DB00670,1904
DB00671,1905
DB00672,1906
DB00673,1907
DB00674,1908
DB00675,1909
DB00676,1910
DB00677,1911
DB00678,1912
DB00679,1913
DB00680,1914
DB00681,1915
DB00682,1916
DB00683,1917
DB00684,1918
DB00685,1919
DB00686,1920
DB00687,1921
DB00688,1922
DB00689,1923
DB00690,1924
DB00691,1925
DB00692,1926
DB00693,1927
DB00694,1928
DB00695,1929
DB00696,1930
DB00697,1931
DB00698,1932
DB00699,1933
DB00701,1934
DB00702,1935
DB00703,1936
DB00704,1937
DB00705,1938
DB00706,1939
DB00707,1940
DB00708,1941
DB00709,1942
DB00710,1943
DB00711,1944
DB00712,1945
DB00713,1946
DB00714,1947
DB00715,1948
DB00716,1949
DB00717,1950
DB00718,1951
DB00719,1952
DB00720,1953
DB00721,1954
DB00722,1955
DB00723,1956
DB00724,1957
DB00726,1958
DB00727,1959
DB00728,1960
DB00730,1961
DB00731,1962
DB00732,1963
DB00733,1964
DB00734,1965
DB00736,1966
DB00737,1967
DB00738,1968
DB00740,1969
DB00741,1970
DB00742,1971
DB00744,1972
DB00745,1973
DB00746,1974
DB00747,1975
DB00748,1976
DB00749,1977
DB00750,1978
DB00751,1979
DB00752,1980
DB00753,1981
DB00754,1982
DB00755,1983
DB00756,1984
DB00757,1985
DB00758,1986
DB00759,1987
DB00760,1988
DB00761,1989
DB00762,1990
DB00763,1991
DB00764,1992
DB00766,1993
DB00767,1994
DB00768,1995
DB00770,1996
DB00771,1997
DB00772,1998
DB00773,1999
DB00776,2000
DB00778,2001
DB00779,2002
DB00780,2003
DB00781,2004
DB00782,2005
DB00783,2006
DB00784,2007
DB00785,2008
DB00786,2009
DB00787,2010
DB00788,2011
DB00789,2012
DB00790,2013
DB00791,2014
DB00792,2015
DB00794,2016
DB00795,2017
DB00796,2018
DB00797,2019
DB00798,2020
DB00799,2021
DB00800,2022
DB00801,2023
DB00802,2024
DB00803,2025
DB00804,2026
DB00805,2027
DB00806,2028
DB00807,2029
DB00808,2030
DB00809,2031
DB00810,2032
DB00811,2033
DB00812,2034
DB00813,2035
DB00814,2036
DB00815,2037
DB00816,2038
DB00818,2039
DB00819,2040
DB00820,2041
DB00822,2042
DB00823,2043
DB00824,2044
DB00826,2045
DB00827,2046
DB00828,2047
DB00829,2048
DB00830,2049
DB00831,2050
DB00833,2051
DB00834,2052
DB00835,2053
DB00836,2054
DB00837,2055
DB00839,2056
DB00841,2057
DB00842,2058
DB00843,2059
DB00844,2060
DB00845,2061
DB00846,2062
DB00847,2063
DB00848,2064
DB00849,2065
DB00850,2066
DB00851,2067
DB00852,2068
DB00853,2069
DB00854,2070
DB00855,2071
DB00857,2072
DB00859,2073
DB00860,2074
DB00861,2075
DB00862,2076
DB00863,2077
DB00864,2078
DB00865,2079
DB00866,2080
DB00867,2081
DB00868,2082
DB00869,2083
DB00870,2084
DB00871,2085
DB00872,2086
DB00873,2087
DB00874,2088
DB00875,2089
DB00876,2090
DB00877,2091
DB00878,2092
DB00880,2093
DB00881,2094
DB00882,2095
DB00883,2096
DB00884,2097
DB00885,2098
DB00886,2099
DB00887,2100
DB00888,2101
DB00889,2102
DB00890,2103
DB00891,2104
DB00892,2105
DB00893,2106
DB00896,2107
DB00897,2108
DB00898,2109
DB00899,2110
DB00900,2111
DB00901,2112
DB00902,2113
DB00903,2114
DB00904,2115
DB00905,2116
DB00906,2117
DB00907,2118
DB00908,2119
DB00909,2120
DB00910,2121
DB00911,2122
DB00912,2123
DB00913,2124
DB00914,2125
DB00915,2126
DB00916,2127
DB00917,2128
DB00918,2129
DB00919,2130
DB00920,2131
DB00921,2132
DB00922,2133
DB00924,2134
DB00925,2135
DB00926,2136
DB00927,2137
DB00928,2138
DB00929,2139
DB00930,2140
DB00931,2141
DB00932,2142
DB00933,2143
DB00934,2144
DB00935,2145
DB00936,2146
DB00937,2147
DB00938,2148
DB00939,2149
DB00943,2150
DB00945,2151
DB00946,2152
DB00947,2153
DB00948,2154
DB00949,2155
DB00951,2156
DB00952,2157
DB00953,2158
DB00954,2159
DB00955,2160
DB00956,2161
DB00957,2162
DB00958,2163
DB00959,2164
DB00960,2165
DB00961,2166
DB00962,2167
DB00963,2168
DB00964,2169
DB00966,2170
DB00967,2171
DB00968,2172
DB00969,2173
DB00970,2174
DB00972,2175
DB00973,2176
DB00974,2177
DB00975,2178
DB00976,2179
DB00977,2180
DB00978,2181
DB00979,2182
DB00980,2183
DB00981,2184
DB00982,2185
DB00983,2186
DB00984,2187
DB00985,2188
DB00987,2189
DB00988,2190
DB00989,2191
DB00990,2192
DB00991,2193
DB00993,2194
DB00994,2195
DB00995,2196
DB00996,2197
DB00997,2198
DB00998,2199
DB00999,2200
DB01000,2201
DB01001,2202
DB01002,2203
DB01003,2204
DB01004,2205
DB01005,2206
DB01006,2207
DB01008,2208
DB01009,2209
DB01010,2210
DB01011,2211
DB01012,2212
DB01013,2213
DB01014,2214
DB01015,2215
DB01016,2216
DB01017,2217
DB01018,2218
DB01019,2219
DB01020,2220
DB01021,2221
DB01022,2222
DB01023,2223
DB01026,2224
DB01028,2225
DB01029,2226
DB01030,2227
DB01032,2228
DB01033,2229
DB01034,2230
DB01035,2231
DB01036,2232
DB01037,2233
DB01039,2234
DB01041,2235
DB01042,2236
DB01043,2237
DB01044,2238
DB01045,2239
DB01046,2240
DB01047,2241
DB01048,2242
DB01050,2243
DB01051,2244
DB01053,2245
DB01054,2246
DB01055,2247
DB01056,2248
DB01058,2249
DB01059,2250
DB01060,2251
DB01061,2252
DB01062,2253
DB01063,2254
DB01064,2255
DB01065,2256
DB01066,2257
DB01067,2258
DB01068,2259
DB01069,2260
DB01070,2261
DB01071,2262
DB01072,2263
DB01073,2264
DB01074,2265
DB01075,2266
DB01076,2267
DB01077,2268
DB01078,2269
DB01079,2270
DB01080,2271
DB01082,2272
DB01083,2273
DB01084,2274
DB01085,2275
DB01086,2276
DB01087,2277
DB01088,2278
DB01090,2279
DB01091,2280
DB01092,2281
DB01093,2282
DB01094,2283
DB01095,2284
DB01096,2285
DB01097,2286
DB01098,2287
DB01099,2288
DB01100,2289
DB01101,2290
DB01102,2291
DB01103,2292
DB01104,2293
DB01105,2294
DB01106,2295
DB01108,2296
DB01109,2297
DB01110,2298
DB01112,2299
DB01113,2300
DB01114,2301
DB01115,2302
DB01116,2303
DB01117,2304
DB01118,2305
DB01119,2306
DB01120,2307
DB01121,2308
DB01123,2309
DB01124,2310
DB01125,2311
DB01126,2312
DB01127,2313
DB01128,2314
DB01129,2315
DB01130,2316
DB01131,2317
DB01132,2318
DB01134,2319
DB01135,2320
DB01136,2321
DB01137,2322
DB01138,2323
DB01139,2324
DB01140,2325
DB01141,2326
DB01142,2327
DB01143,2328
DB01144,2329
DB01147,2330
DB01148,2331
DB01149,2332
DB01150,2333
DB01151,2334
DB01152,2335
DB01153,2336
DB01154,2337
DB01155,2338
DB01156,2339
DB01157,2340
DB01158,2341
DB01159,2342
DB01161,2343
DB01162,2344
DB01163,2345
DB01164,2346
DB01165,2347
DB01166,2348
DB01167,2349
DB01168,2350
DB01169,2351
DB01170,2352
DB01171,2353
DB01172,2354
DB01173,2355
DB01174,2356
DB01176,2357
DB01177,2358
DB01178,2359
DB01179,2360
DB01180,2361
DB01181,2362
DB01182,2363
DB01183,2364
DB01184,2365
DB01185,2366
DB01186,2367
DB01188,2368
DB01189,2369
DB01190,2370
DB01191,2371
DB01192,2372
DB01193,2373
DB01194,2374
DB01195,2375
DB01196,2376
DB01198,2377
DB01199,2378
DB01200,2379
DB01201,2380
DB01202,2381
DB01203,2382
DB01204,2383
DB01205,2384
DB01206,2385
DB01207,2386
DB01208,2387
DB01210,2388
DB01211,2389
DB01212,2390
DB01213,2391
DB01214,2392
DB01215,2393
DB01216,2394
DB01217,2395
DB01218,2396
DB01219,2397
DB01220,2398
DB01221,2399
DB01222,2400
DB01223,2401
DB01224,2402
DB01226,2403
DB01228,2404
DB01229,2405
DB01230,2406
DB01231,2407
DB01232,2408
DB01233,2409
DB01234,2410
DB01235,2411
DB01236,2412
DB01238,2413
DB01239,2414
DB01240,2415
DB01241,2416
DB01242,2417
DB01244,2418
DB01245,2419
DB01246,2420
DB01247,2421
DB01248,2422
DB01249,2423
DB01250,2424
DB01251,2425
DB01252,2426
DB01253,2427
DB01254,2428
DB01255,2429
DB01259,2430
DB01260,2431
DB01261,2432
DB01262,2433
DB01263,2434
DB01264,2435
DB01265,2436
DB01267,2437
DB01268,2438
DB01273,2439
DB01275,2440
DB01276,2441
DB01280,2442
DB01282,2443
DB01283,2444
DB01284,2445
DB01285,2446
DB01288,2447
DB01291,2448
DB01294,2449
DB01295,2450
DB01296,2451
DB01297,2452
DB01299,2453
DB01301,2454
DB01306,2455
DB01319,2456
DB01320,2457
DB01321,2458
DB01324,2459
DB01326,2460
DB01327,2461
DB01328,2462
DB01329,2463
DB01330,2464
DB01331,2465
DB01332,2466
DB01333,2467
DB01337,2468
DB01338,2469
DB01339,2470
DB01340,2471
DB01348,2472
DB01349,2473
DB01351,2474
DB01352,2475
DB01353,2476
DB01355,2477
DB01356,2478
DB01357,2479
DB01359,2480
DB01362,2481
DB01364,2482
DB01365,2483
DB01366,2484
DB01367,2485
DB01370,2486
DB01373,2487
DB01377,2488
DB01380,2489
DB01384,2490
DB01388,2491
DB01390,2492
DB01392,2493
DB01393,2494
DB01394,2495
DB01395,2496
DB01396,2497
DB01399,2498
DB01400,2499
DB01403,2500
DB01405,2501
DB01406,2502
DB01407,2503
DB01408,2504
DB01409,2505
DB01410,2506
DB01411,2507
DB01412,2508
DB01413,2509
DB01414,2510
DB01415,2511
DB01416,2512
DB01418,2513
DB01419,2514
DB01420,2515
DB01421,2516
DB01422,2517
DB01424,2518
DB01425,2519
DB01426,2520
DB01427,2521
DB01428,2522
DB01429,2523
DB01430,2524
DB01433,2525
DB01435,2526
DB01436,2527
DB01437,2528
DB01438,2529
DB01440,2530
DB01441,2531
DB01445,2532
DB01446,2533
DB01447,2534
DB01452,2535
DB01454,2536
DB01456,2537
DB01462,2538
DB01466,2539
DB01472,2540
DB01478,2541
DB01482,2542
DB01483,2543
DB01485,2544
DB01486,2545
DB01488,2546
DB01490,2547
DB01495,2548
DB01497,2549
DB01506,2550
DB01509,2551
